state_name,state_name_slug,state_code,state_code_slug,class,bioguide,thomas,opensecrets,votesmart,fec,maplight,wikidata,google_entity_id,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
"Colorado","colorado","CO","co","II","H000273",,,,"S0CO00575",,,,"senator","democrat","John Hickenlooper","john-hickenlooper","John","Wright","Hickenlooper","Jr.",,"jawn hih-ken-loo-puh","male","white-american","unspecified","no","1952-02-07","2021-01-03","2027-01-03","John started his career in Colorado as a geologist. After being laid off in the long recession of the mid-80’s, along with an estimated 10,000 other Earth Science professionals, he opened the state’s first brewpub in a neglected warehouse district in Lower Downtown (LoDo) Denver.","202-224-5941",,"38.892542","-77.007415","B85 Russell Senate Office Building Washington DC 20510",,,"B85 Russell Senate Office Building Washington DC 20510",,,"Washington","DC","20510","Building","https://www.hickenlooper.senate.gov/","https://www.hickenlooper.senate.gov",,"SenatorHick","https://twitter.com/SenatorHick","https://cdn.civil.services/us-senate/headshots/512x512/john-hickenlooper.jpg"
"Colorado","colorado","CO","co","III","B001267","1965","N00030608","110942",,,,,"senator","democrat","Michael  Bennet","michael-bennet","Michael ","F.","Bennet",,,"MAHY-kuhl BEN-ett","male","white-american","unspecified","no","1964-11-28","2009-01-21","2023-01-03","Michael Bennet, a Senator from Colorado; born in New Delhi, India, November 28, 1964; B.A., Wesleyan University, Middletown, Conn., 1987; J.D., Yale Law School, 1993, editor-in-chief of the Yale Law Journal; counsel to U.S. deputy attorney general 1995-1997; special assistant U.S. attorney, Conn., 1997; managing director, Anschutz Investment Co. 1997-2003; chief of staff to Mayor of Denver, Colo., 2003-2005; Superintendent, Denver Public Schools 2005-2009; appointed January 21, 2009, to the United States Senate for the term ending January 3, 2011, to fill the vacancy caused by the resignation of Kenneth L. Salazar; took the oath of office on January 22, 2009; elected to the U.S. Senate in 2010 for the term ending January 3, 2017; chair, Democratic Senatorial Campaign Committee (2013-2014).","202-224-5852","202-228-5097","38.892542","-77.007415","261 Russell Senate Office Building, Washington, DC 20510",,,"261 Russell Senate Office Building",,,"Washington","DC","20510","Building","http://www.bennet.senate.gov","https://www.bennet.senate.gov/?p=contact","https://facebook.com/SenatorBennet","SenatorBennet","https://twitter.com/SenatorBennet","https://cdn.civil.services/us-senate/headshots/512x512/michael-bennet.jpg"
"Connecticut","connecticut","CT","ct","I","M001169","1837","N00027566","17189",,,,,"senator","democrat","Christopher Murphy","christopher-murphy","Christopher",,"Murphy",,"Chris","KRISS MER-fee","male","white-american","protestant","no","1973-08-03","2013-01-03","2019-01-03","Christopher Murphy, a Senator and a Representative from Connecticut; born in White Plains, Westchester County, N.Y., August 3, 1973; B.A., Williams College, Williamstown, Mass., 1996; attended Exeter College, Oxford, England, 1994-1995; J.D., University of Connecticut, Hartford, Conn., 2002; lawyer, private practice; Southington, Conn., planning and zoning commission, 1997-1999; member of the Connecticut state house of representatives, 1999-2003; member of the Connecticut state senate, 2003-2006; elected as a Democrat to the One Hundred Tenth and to the two succeeding Congresses (January 3, 2007-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019.","202-224-4041","202-224-9750","38.892839","-77.004356","136 Hart Senate Office Building, Washington, DC 20510",,,"136 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.murphy.senate.gov","https://www.murphy.senate.gov/contact","https://facebook.com/ChrisMurphyCT","ChrisMurphyCT","https://twitter.com/ChrisMurphyCT","https://cdn.civil.services/us-senate/headshots/512x512/christopher-murphy.jpg"
"Connecticut","connecticut","CT","ct","III","B001277","2076","N00031685","1568",,,,,"senator","democrat","Richard Blumenthal","richard-blumenthal","Richard",,"Blumenthal",,"Dick","DICK BLOO-mun-thawl","male","white-american","jewish","no","1946-02-13","2011-01-05","2023-01-03","Richard Blumenthal, a Senator from Connecticut; born in Brooklyn, N.Y., February 13, 1946; graduated Harvard University, B.A., 1967; attended Cambridge University, 1967-1968; graduated Yale University, J.D., 1973; editor-in-chief of the Yale Law Journal; served in the United States Marine Corps Reserves 1970-1976; White House aide 1969-1970; law clerk to United States Supreme Court Justice Harry A. Blackmun 1974-1975; administrative assistant to Senator Abraham Ribicoff 1975-1976; United States Attorney for Connecticut 1977-1981; lawyer; member of the Connecticut state house of representatives 1984-1987; member of the Connecticut state senate 1987-1990; attorney general of Connecticut 1991-2010; elected as a Democrat to the United States Senate in 2010 for the term ending January 3, 2017.","202-224-2823","202-224-9673","38.892839","-77.004356","706 Hart Senate Office Building, Washington, DC 20510",,,"706 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.blumenthal.senate.gov","https://www.blumenthal.senate.gov/contact/","https://facebook.com/SenBlumenthal","SenBlumenthal","https://twitter.com/SenBlumenthal","https://cdn.civil.services/us-senate/headshots/512x512/richard-blumenthal.jpg"
"Delaware","delaware","DE","de","II","C001088","1984","N00031820","122834",,,,,"senator","democrat","Christopher Coons","christopher-coons","Christopher","A.","Coons",,"Chris","KRISS KOONZ","male","white-american","presbyterian","no","1963-09-09","2010-11-15","2027-01-03","Chris Coons, a Senator from Delaware; born on September 9, 1963, in Greenwich, Conn.; B.A., Amherst College, 1985; J.D., Yale University Law School, 1992; M.A.R., Yale Divinity School, 1992; worked in the non-profit sector; attorney; served as president of the New Castle County Council 2001-2005; County Executive of New Castle County 2005-2010; elected as a Democrat to the United States Senate in the November 2, 2010, special election to the term ending January 3, 2015, a seat previously held by appointed Senator Edward E. Kaufman, and took the oath of office on November 15, 2010; reelected in 2014 for the term ending January 3, 2021.","202-224-5042",,"38.892542","-77.007415","127A Russell Senate Office Building, Washington, DC 20510",,,"127A Russell Senate Office Building",,,"Washington","DC","20510","Building","http://www.coons.senate.gov","https://www.coons.senate.gov/contact","https://facebook.com/senatorchriscoons","ChrisCoons","https://twitter.com/ChrisCoons","https://cdn.civil.services/us-senate/headshots/512x512/christopher-coons.jpg"
"Delaware","delaware","DE","de","I","C000174","179","N00012508","22421",,,,,"senator","democrat","Thomas Carper","thomas-carper","Thomas","R.","Carper",,"Tom","TAHM KAR-per","male","white-american","presbyterian","no","1947-01-23","2001-01-03","2019-01-03","Thomas Carper, a Senator and a Representative from Delaware; born in Beckley, Raleigh County, W.Va., January 23, 1947; attended public schools; graduated, Whetstone High School, Columbus, Ohio 1964; B.A., Ohio State University, Columbus 1968; University of Delaware, Newark, M.B.A. 1975; served in the United States Navy 1968-1973; Naval Reserve, commander, 1973-1991; Delaware State Treasurer 1976-1983; elected as a Democrat to the Ninety-eighth and to the four succeeding Congresses (January 3, 1983-January 3, 1993); Governor of Delaware 1993-2001; chairman of the National Governors Association 1998-1999; elected to the United States Senate in 2000 for term commencing January 3, 2001; reelected in 2006 and again in 2012 for the term ending January 3, 2019; chair, Committee on Homeland Security and Governmental Affairs (One Hundred Thirteenth Congress).","202-224-2441","202-228-2190","38.892839","-77.004356","513 Hart Senate Office Building, Washington, DC 20510",,,"513 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.carper.senate.gov","https://www.carper.senate.gov/public/index.cfm/email-senator-carper","https://facebook.com/tomcarper","SenatorCarper","https://twitter.com/SenatorCarper","https://cdn.civil.services/us-senate/headshots/512x512/thomas-carper.jpg"
"Florida","florida","FL","fl","I","S001217",,"N00043290","124204","S8FL00273",,"Q439729",,"senator","republican","Rick Scott","rick-scott","Rick",,"Scott",,,"RIK SKAHT","male","white-american","unspecified","no","1952-12-01","2019-01-03","2025-01-03","Rick Scott is a Republican member of the U.S. Senate from Florida. Scott was elected to the office on November 6, 2018. Scott was elected governor of Florida in 2010 and 2014. Prior to serving in public office, Scott owned an investment firm and a business that acquired healthcare organizations","202-224-5274",,"38.892839","-77.004356","716 Hart Senate Office Building, Washington, DC 20510",,,"716 Hart Senate Office Building",,,"Washington","DC","20510","Building","https://www.rickscott.senate.gov","https://www.rickscott.senate.gov/contact_rick","https://facebook.com/RickScottSenOffice","SenRickScott","https://twitter.com/SenRickScott","https://cdn.civil.services/us-senate/headshots/512x512/rick-scott.jpg"
"Florida","florida","FL","fl","III","R000595","2084","N00030612","1601",,,,,"senator","republican","Marco Rubio","marco-rubio","Marco",,"Rubio",,,"MAR-koh ROO-bee-oh","male","hispanic-american","roman-catholic","no","1971-05-28","2011-01-03","2023-01-03","Marco Rubio, a Senator from Florida; born in Miami, Fla., May 28, 1971; graduated University of Florida, B.S., 1993; graduated University of Miami, J.D., 1996; lawyer; West Miami City Commission 1998-2000; member of the Florida house of representatives 2000-2008; majority leader 2003-2006; speaker 2006-2008; elected as a Republican to the United States Senate for the term ending January 3, 2017.","202-224-3041",,"38.892542","-77.007415","284 Russell Senate Office Building, Washington, DC 20510",,,"284 Russell Senate Office Building",,,"Washington","DC","20510","Building","http://www.rubio.senate.gov","https://www.rubio.senate.gov/public/index.cfm/contact","https://facebook.com/SenatorMarcoRubio","marcorubio","https://twitter.com/marcorubio","https://cdn.civil.services/us-senate/headshots/512x512/marco-rubio.jpg"
"Georgia","georgia","GA","ga","II","O000174",,,"176134","S8GA00180",,,,"senator","democrat","Jon Ossoff","jon-ossoff","Jon",,"Ossoff",,,"john os off","male","white-american","jewish","no","1987-02-16","2021-01-20","2027-01-03","Before his election to the Senate, Jon led a team that exposed ISIS war crimes, atrocities committed by peacekeeping troops, human trafficking, fraud, theft, corruption, corporate abuse, and murder as the CEO of a 30-year-old company that produces investigations of official corruption, organized crime, and war crimes for international news organizations.","202-224-3521",,"38.892542","-77.007415","825 B&C Hart Senate Office Building Washington DC 20510",,,"825 B&C Hart Senate Office Building Washington DC 20510",,,"Washington","DC","20510","Building","https://www.ossoff.senate.gov/","https://www.ossoff.senate.gov/contact/","https://facebook.com/SenOssoff","SenOssoff","https://twitter.com/SenOssoff","https://cdn.civil.services/us-senate/headshots/512x512/jon-ossoff.jpg"
"Georgia","georgia","GA","ga","III","W000790",,,"189794","S0GA00559",,,,"senator","democrat","Raphael Warnock","raphael-warnock","Raphael","Gamaliel","Warnock",,,"rap-hael war-nock","male","african-american","baptist","no","1969-07-23","2021-01-20","2027-01-03","Senator Reverend Raphael Warnock grew up in Kayton Homes public housing in Savannah, born one of twelve brothers and sisters raised in coastal Georgia. His father, a veteran, small businessman, and preacher, grew up in Burke and Screven County, GA.","202-224-3643",,"38.892542","-77.007415","B40D Dirksen Senate Office Building Washington DC 20510",,,"B40D Dirksen Senate Office Building Washington DC 20510",,,"Washington","DC","20510","Building","https://www.warnock.senate.gov/","https://www.warnock.senate.gov/","https://facebook.com/SenatorWarnock","SenatorWarnock","https://twitter.com/SenatorWarnock","https://cdn.civil.services/us-senate/headshots/512x512/raphael-warnock.jpg"
"Hawaii","hawaii","HI","hi","III","S001194","2173","N00028138","17852",,,,,"senator","democrat","Brian Schatz","brian-schatz","Brian",,"Schatz",,,"BRAHY-uhn SHAHTS [Rhymes with shots, not cats]","male","white-american","jewish","no","1972-10-20","2012-12-26","2023-01-03","Brian Schatz, a Senator from Hawaii; born in Ann Arbor, Washtenaw County, Mich., October 20, 1972; attended Punahou School in Honolulu, Hawaii; B.A. Pomona College 1994; teacher; member of the Hawaii state house of representatives, 1998-2006; CEO, Helping Hands Hawaii, 2002-2010; Chairman, Democratic Party of Hawaii, 2008-2011; Hawaii lieutenant governor, 2010-2012; appointed as a Democrat to the United States Senate on December 26, 2012, to fill the vacancy caused by the death of Daniel Inouye, and took the oath of office on December 27, 2012; elected in 2014 in a special election for the term ending January 3, 2017.","202-224-3934","202-228-1153","38.892839","-77.004356","722 Hart Senate Office Building, Washington, DC 20510",,,"722 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.schatz.senate.gov","https://www.schatz.senate.gov/contact","https://facebook.com/SenBrianSchatz","brianschatz","https://twitter.com/brianschatz","https://cdn.civil.services/us-senate/headshots/512x512/brian-schatz.jpg"
"Hawaii","hawaii","HI","hi","I","H001042","1844","N00028139","1677",,,,,"senator","democrat","Mazie Hirono","mazie-hirono","Mazie","K.","Hirono",,,"MAY-zee hear-OH-noh [O's unrounded]","female","asian-american","buddhism","no","1947-11-03","2013-01-03","2019-01-03","Mazie Hirono, a Senator and a Representative from Hawaii; born in Fukushima, Japan, November 3, 1947; graduated from Kaimuki High School, Honolulu, Hawaii; B.A., University of Hawaii, Manoa, Hawaii, 1970; J.D., Georgetown University, Washington, D.C., 1978; lawyer, private practice; member of the Hawaii state house of representatives, 1981-1994; Hawaii lieutenant governor, 1994-2002; elected as a Democrat to the One Hundred Tenth and to the two succeeding Congresses (January 3, 2007-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019.","202-224-6361","202-224-2126","38.892839","-77.004356","330 Hart Senate Office Building, Washington, DC 20510",,,"330 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.hirono.senate.gov","https://www.hirono.senate.gov/contact","https://facebook.com/senatorhirono","maziehirono","https://twitter.com/maziehirono","https://cdn.civil.services/us-senate/headshots/512x512/mazie-hirono.jpg"
"Iowa","iowa","IA","ia","III","G000386","457","N00001758","53293",,,,,"senator","republican","Charles Grassley","charles-grassley","Charles",,"Grassley",,"Chuck","CHUHK GRASS-lee","male","white-american","baptist","no","1933-09-17","1981-01-03","2023-01-03","Charles Grassley, a Senator and a Representative from Iowa; born in New Hartford, Butler County, Iowa, September 17, 1933; attended the public schools; graduated, University of Northern Iowa, Cedar Falls 1955; received a graduate degree from the same university in 1956; pursued graduate work, University of Iowa, Iowa City 1957-1958; engaged in agriculture; part-time university instructor; member, Iowa house of representatives 1959-1974; elected in 1974 as a Republican to the Ninety-fourth Congress; reelected to the Ninety-fifth and Ninety-sixth Congresses (January 3, 1975-January 3, 1981); was not a candidate in 1980 for reelection to the House of Representatives, but was elected to the Senate in 1980; reelected in 1986, 1992, 1998, 2004 and again in 2010 for the term ending January 3, 2017; Chair, Special Committee on Aging (One Hundred Fifth Congress), Committee on Finance (One Hundred Seventh Congress [January 20 to June 6, 2001], One Hundred Eighth and One Hundred Ninth Congresses), Committee on the Judiciary (One Hundred Fourteenth Congress).","202-224-3744","202-224-6020","38.892839","-77.004356","135 Hart Senate Office Building, Washington, DC 20510",,,"135 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.grassley.senate.gov","https://www.grassley.senate.gov/contact","https://facebook.com/grassley","ChuckGrassley","https://twitter.com/ChuckGrassley","https://cdn.civil.services/us-senate/headshots/512x512/charles-grassley.jpg"
"Iowa","iowa","IA","ia","II","E000295","2283","N00035483","128583",,,,,"senator","republican","Joni Ernst","joni-ernst","Joni",,"Ernst",,,"JOH-nee URNST","female","white-american","lutheran","no","1970-07-01","2015-01-03","2027-01-03","Joni Ernst, a Senator from Iowa; born in Red Oak, Montgomery County, Iowa, July 1, 1970; B.A., Iowa State University, 1992; M.P.A., Columbus College (now Columbus State University), Columbus, Ga., 1995; United States Army Reserves, 1993-2001; Iowa Army National Guard, 2001-present, attaining the rank of lieutenant colonel; auditor of Montgomery County, Iowa, 2005-2011; member of the Iowa state Senate 2011-2014; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.","202-224-3254","202-224-9369","38.892542","-77.007415","111 Russell Senate Office Building, Washington, DC 20510",,,"111 Russell Senate Office Building",,,"Washington","DC","20510","Building","http://www.ernst.senate.gov","https://www.ernst.senate.gov/public/index.cfm/contact","https://facebook.com/joniforiowa","joniernst","https://twitter.com/joniernst","https://cdn.civil.services/us-senate/headshots/512x512/joni-ernst.jpg"
