state_name,state_name_slug,state_code,state_code_slug,district,at_large,vacant,bioguide,thomas,opensecrets,votesmart,fec,maplight,wikidata,google_entity_id,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
"Arkansas","arkansas","AR","ar","3","false","false","W000809","1991","N00031857","71815","H0AR03055","1416","Q1029527","kg:/m/0cmcvkz","representative","republican","Steve Womack","steve-womack","Steve",,"Womack",,,"STEEV WOH-mack","male","white-american","southern-baptist","no","1957-02-18","2011-01-05","2023-01-03","Steve Womack, a Representative from Arkansas; born in Russellville, Pope County, Ark., on February 18, 1957; graduated from Russellville High School, Russellville, Ark., 1975; B.A., Arkansas Tech University, Russellville, Ark., 1979; Arkansas Army National Guard, 1979-2009; radio station manager; consultant; member of the Rogers, Ark., city council, 1983-1984 and 1997-1998; Mayor of Rogers, Ark., 1999-2010; elected as a Republican to the One Hundred Twelfth and to the three succeeding Congresses (January 3, 2011-present).","202-225-4301","202-225-5713","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://womack.house.gov","https://womack.house.gov/contact","https://facebook.com/RepSteveWomack","rep_stevewomack","https://twitter.com/rep_stevewomack","https://cdn.civil.services/us-house/headshots/512x512/steve-womack.jpg"
"Arkansas","arkansas","AR","ar","4","false","false","W000821","2224","N00035527","119120","H4AR04048","2066","Q16197421","kg:/m/0wklff5","representative","republican","Bruce Westerman","bruce-westerman","Bruce",,"Westerman",,,"BROOS WEST-er-muhn","male","white-american","southern-baptist","no","1967-11-18","2015-01-06","2023-01-03","Bruce Westerman, a Representative from Arkansas; born in Hot Springs, Hot Springs County, Ark., November 18, 1967; graduated from Fountain Lake High School, Hot Springs, Ark., 1986; B.S., University of Arkansas, Fayetteville, Ark., 1990; M.F., Yale Forestry School, New Haven, Conn., 2001; engineer; member of the Fountain Lake, Ark., school board, 2006-2010; member of the Arkansas state house of representatives 2010-2014; elected as a Republican to the One Hundred Fourteenth Congress and to the succeeding Congress (January 3, 2015-present).","202-225-3772","202-225-1314","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://westerman.house.gov","https://westerman.house.gov/contact","https://facebook.com/RepWesterman","RepWesterman","https://twitter.com/RepWesterman","https://cdn.civil.services/us-house/headshots/512x512/bruce-westerman.jpg"
"Arizona","arizona","AZ","az","1","false","false","O000171",,"N00037515","28499","H6AZ01199","2194","Q7817086",,"representative","democrat","Tom O'Halleran","tom-ohalleran","Tom",,"O'Halleran",,,"TAHM oh-HAL-er-uhn","male","white-american","roman-catholic","no","1946-01-24","2017-01-03","2023-01-03","Tom O'Halleran, a Representative from Arizona; born in Chicago, Cook County, Ill., January 24, 1946; graduated from St. Mel High School, Chicago, Ill., 1964; attended Lewis University, Romeoville, Ill., 1965-1966; attended DePaul University, Chicago, Ill., 1991-1992; police officer, Chicago, Ill., 1966-1979; bond trader; business owner; member of the Arizona state house of representatives, 2001-2007; member of the Arizona state senate, 2007-2009; elected as a Democrat to the One Hundred Fifteenth Congress (January 3, 2017-present).","202-225-3361","202-225-3462","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://ohalleran.house.gov","https://ohalleran.house.gov/contact/email","https://facebook.com/repohalleran","repohalleran","https://twitter.com/repohalleran","https://cdn.civil.services/us-house/headshots/512x512/tom-ohalleran.jpg"
"Arizona","arizona","AZ","az","2","false","false","K000368",,"N00029260","28425","H8AZ02151","768","Q558460","kg:/m/02qtczp","representative","democrat","Ann Kirkpatrick","ann-kirkpatrick","Ann",,"Kirkpatrick",,,"AN KURK-PA-trik","female","white-american","unspecified","no","1950-03-24","2019-01-03","2023-01-03","Ann Kirkpatrick is the Democratic representative from Arizona's 2nd Congressional District in the U.S. House. Kirkpatrick was elected to the office on November 6, 2018. Kirkpatrick is a former member of the U.S. House representing the 1st Congressional District of Arizona from 2013 to 2017. She also represented the district from 2009 to 2011.","202-225-2542",,"38.8863235","-77.011373","309 Cannon HOB Washington DC 20515","309",,"Cannon",,,"HOB Washington","DC","20515",,"https://kirkpatrick.house.gov","https://kirkpatrick.house.gov/contact/email-me","https://facebook.com/KirkpatrickforCongress","Ann_Kirkpatrick","https://twitter.com/Ann_Kirkpatrick","https://cdn.civil.services/us-house/headshots/512x512/ann-kirkpatrick.jpg"
"Arizona","arizona","AZ","az","3","false","false","G000551","1708","N00025284","28253","H2AZ07070","268","Q946606","kg:/m/024s1z","representative","democrat","Raul Grijalva","raul-grijalva","Raul",,"Grijalva",,,"rah-OOL gree-HAL-vuh [Rs are trilled]","male","hispanic-american","roman-catholic","no","1948-02-19","2003-01-07","2023-01-03","Raul Grijalva, a Representative from Arizona; born in Tucson, Pima County, Ariz., February 19, 1948; graduated from Sunnyside High School, Tucson, Ariz.; B.A., University of Arizona, Tucson, Ariz., 1986; member of the Tucson, Ariz., Unified School Board, 1974-1986; Pima County, Ariz. supervisor, 1989-2002; elected as a Democrat to the One Hundred Eighth and to the seven succeeding Congresses (January 3, 2003-present).","202-225-2435","202-225-1541","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://grijalva.house.gov","https://grijalva.house.gov/email-raul","https://facebook.com/GrijalvaForCongress","RepRaulGrijalva","https://twitter.com/RepRaulGrijalva","https://cdn.civil.services/us-house/headshots/512x512/raul-grijalva.jpg"
"Arizona","arizona","AZ","az","4","false","false","G000565","1992","N00030771","123491","H0AZ01259","1411","Q2059832","kg:/m/0czdqz0","representative","republican","Paul Gosar","paul-gosar","Paul","A.","Gosar",,,"PAWL GOH-sar","male","white-american","roman-catholic","no","1958-11-22","2011-01-05","2023-01-03","Paul Gosar, a Representative from Arizona; born in Rock Springs, Sweetwater County, Wyo., November 22, 1958; graduated from Pinedale High School, Pinedale, Wyo., 1977; B.S., Creighton University, Omaha, Nebr., 1981; D.D.S., Creighton University, Omaha, Nebr., 1985; dentist; elected as a Republican to the One Hundred Twelfth and to the three succeeding Congresses (January 3, 2011-present).","202-225-2315",,"38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://paulgosar.house.gov","https://paulgosar.house.gov/contact","https://facebook.com/repgosar","RepGosar","https://twitter.com/RepGosar","https://cdn.civil.services/us-house/headshots/512x512/paul-gosar.jpg"
"Arizona","arizona","AZ","az","5","false","false","B001302",,"N00039293","28088","H6AZ05083","2195","Q16199304",,"representative","republican","Andy Biggs","andy-biggs","Andy",,"Biggs",,,"ANN-dee BIGZ","male","white-american","mormon","no","1958-11-07","2017-01-03","2023-01-03","Andy Biggs, a Representative from Arizona; born in Tucson, Pima County, Ariz., November 7, 1958; B.A., Brigham Young University, Provo, Utah, 1982; J.D., University of Arizona, Tucson, Ariz., 1984; M.A., Arizona State University, Phoenix, Ariz, 1999; lawyer, private practice; member of the Arizona state house of representatives, 2003-2011; member of the Arizona state senate, 2011-2016, majority leader, 2011-2012, president, 2013-2016; elected as a Republican to the One Hundred Fifteenth Congress (January 3, 2017-present).","202-225-2635",,"38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://biggs.house.gov","https://biggs.house.gov/contact","https://facebook.com/RepAndyBiggs","RepAndyBiggsAZ","https://twitter.com/RepAndyBiggsAZ","https://cdn.civil.services/us-house/headshots/512x512/andy-biggs.jpg"
"Arizona","arizona","AZ","az","6","false","false","S001183","1994","N00006460","106387","H4AZ06045","1413","Q1176561","kg:/m/03wbpxj","representative","republican","David Schweikert","david-schweikert","David",,"Schweikert",,,"DAY-vid SHWAHY-kert","male","white-american","roman-catholic","no","1962-03-03","2011-01-05","2023-01-03","David Schweikert, a Representative from Arizona; born in Los Angeles, Los Angeles County, Calif., on March 3, 1962; A.A., Scottsdale Community College, Scottsdale, Ariz., 1985; B.S., Arizona State University, Tempe, Ariz., 1988; M.B.A., Arizona State University, Tempe, Ariz., 2005; business owner; realtor; financial consultant; member of the Arizona state house of representatives, 1989-1994; member of the Arizona state board of equalization, 1995-2003; Maricopa County, Ariz. treasurer, 2004-2006; elected as a Republican to the One Hundred Twelfth and to the three succeeding Congresses (January 3, 2011-present).","202-225-2190","202-225-0096","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://schweikert.house.gov","https://schweikert.house.gov/contact","https://facebook.com/repdavidschweikert","RepDavid","https://twitter.com/RepDavid","https://cdn.civil.services/us-house/headshots/512x512/david-schweikert.jpg"
"Arizona","arizona","AZ","az","7","false","false","G000574","2226","N00036097",,"H4AZ07043","2068","Q16218474","kg:/m/0wy0mz5","representative","democrat","Ruben Gallego","ruben-gallego","Ruben",,"Gallego",,,"ROO-bin GUY-ay-goh","male","hispanic-american","roman-catholic","no","1979-11-20","2015-01-06","2023-01-03","Ruben Gallego, a Representative from Arizona; born in Chicago, Cook County, Ill., November 20, 1979; A.B., Harvard University, Cambridge, Mass., 2004; United States Marine Corps, 2002-2006; public affairs consultant, 2007-2008; delegate, Democratic National Convention, 2008; vice-chair, Arizona Democratic party, 2009; member of the Arizona state house of representatives, 2010-2014, assistant minority leader, 2012-2014; elected as a Democrat to the One Hundred Fourteenth and to the succeeding Congress (January 3, 2015-present).","202-225-4065","602-257-9103","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://rubengallego.house.gov","https://rubengallego.house.gov/contact","https://facebook.com/RepRubenGallego","RepRubenGallego","https://twitter.com/RepRubenGallego","https://cdn.civil.services/us-house/headshots/512x512/ruben-gallego.jpg"
"Arizona","arizona","AZ","az","8","false","false","L000589",,"N00042056","106483","H8AZ08158",,"Q16731415",,"representative","republican","Debbie  Lesko","debbie-lesko","Debbie ",,"Lesko",,,"DE-bee LES-koh","female","white-american","unspecified","no","1958-11-14","2018-05-07","2023-01-03","Debbie Lesko is a Representative from Arizona; born in Sheboygan, Sheboygan County, Wis., November 14, 1958; graduated from the University of Wisconsin, Madison, Wisc.; business owner; member of the Arizona state house of representatives, 2008-2014; majority whip; member of the Arizona state senate, 2015-2018; president pro tempore, 2017-2018; elected as a Republican to the One Hundred Fifteenth Congress, by special election, to fill the vacancy caused by the resignation of United States Representative Trent Franks, and reelected to the succeeding Congress","202-225-4576",,"38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://lesko.house.gov","https://lesko.house.gov/contact","https://facebook.com/RepDebbieLesko","DebbieLesko","https://twitter.com/DebbieLesko","https://cdn.civil.services/us-house/headshots/512x512/debbie-lesko.jpg"
"Arizona","arizona","AZ","az","9","false","false","S001211",,"N00041750","72030","H8AZ09040",,"Q5606289",,"representative","democrat","Greg Stanton","greg-stanton","Greg",,"Stanton",,,"GREG STAN-ten","male","white-american","unspecified","no","1970-03-08","2019-01-03","2023-01-03","Greg Stanton is the Democratic representative from Arizona's 9th Congressional District in the U.S. House. Stanton was elected to the office on November 6, 2018. Stanton served as mayor of Phoenix from 2012 to 2018. He resigned his position on May 29, 2018, to run for Congress.","202-225-9888",,"38.886944","-77.006944","128 Cannon HOB, Washington, DC 20515","128",,"Cannon HOB",,,"Washington","DC","20515",,"https://stanton.house.gov","https://stanton.house.gov/contact/email-me","https://facebook.com/stantonforarizona","gregstantonaz","https://twitter.com/gregstantonaz","https://cdn.civil.services/us-house/headshots/512x512/greg-stanton.jpg"
"California","california","CA","ca","1","false","false","L000578","2100","N00033987","29713","H2CA02142","1734","Q1703840","kg:/m/0288tnx","representative","republican","Doug LaMalfa","doug-lamalfa","Doug",,"LaMalfa",,,"DUHG luh-MAL-fuh","male","white-american","christian","no","1960-07-02","2013-01-03","2023-01-03","Doug LaMalfa, a Representative from California; born in Oroville, Butte County, Calif., July 2, 1960; attended Las Plumas High School, Oroville, Calif.; graduated from Briggs High School, Briggs, Calif., 1978; A.A., Butte College, Oroville, Calif., 1980; B.S., California Polytechnic State University, San Luis Obispo, Calif., 1982; rice farmer; member of the California state assembly, 2002-2008; member of the California state senate, 2010-2012; elected as a Republican to the One Hundred Thirteenth and to the two succeeding Congresses (January 3, 2013-present).","202-225-3076",,"38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://lamalfa.house.gov","https://lamalfa.house.gov/contact/email-me","https://facebook.com/RepLaMalfa","RepLaMalfa","https://twitter.com/RepLaMalfa","https://cdn.civil.services/us-house/headshots/512x512/doug-lamalfa.jpg"
"California","california","CA","ca","2","false","false","H001068","2101","N00033030","59849","H2CA06259","1735","Q3276717","kg:/m/0ksfyx","representative","democrat","Jared Huffman","jared-huffman","Jared",,"Huffman",,,"JAIR-ed HUHF-muhn","male","white-american","unspecified","no","1964-02-18","2013-01-03","2023-01-03","Jared Huffman, a Representative from California; born in Independence, Jackson County, Mo., February 18, 1964; graduated from William Chrisman High School, Independence, Mo., 1982; B.A., University of California, Santa Barbara, Calif., 1986; J.D., Boston College, Newton, Mass., 1990; lawyer, private practice; senior attorney, Natural Resources Defense Council, 2001-2006; member of the Marin County, Calif., municipal water district board of directors, 2001-2006; member of the California state assembly, 2006-2012; elected as a Democrat to the One Hundred Thirteenth and to the two succeeding Congresses (January 3, 2013-present).","202-225-5161","202-225-5163","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://huffman.house.gov","https://huffman.house.gov/contact/email-me","https://facebook.com/RepHuffman","RepHuffman","https://twitter.com/RepHuffman","https://cdn.civil.services/us-house/headshots/512x512/jared-huffman.jpg"
"California","california","CA","ca","3","false","false","G000559","1973","N00030856","29664","H0CA10149","1209","Q1340268","kg:/m/05fvls","representative","democrat","John Garamendi","john-garamendi","John",,"Garamendi",,,"JAHN gair-uh-MEN-dee","male","white-american","roman-catholic","no","1945-01-24","2009-11-03","2023-01-03","John Garamendi, a Representative from California; born in Camp Blanding, Clay County, Fla., January 24, 1945; B.A., University of California, Berkeley, Calif., 1966; M.B.A., Harvard University, Cambridge, Mass., 1970; businessman; rancher; United States Peace Corps, 1966-1968; member of the California state assembly 1974-1976; member of the California state senate 1976-1990; California state insurance commissioner, 1991-1994, 2002-2006; deputy secretary, United States Department of the Interior, 1995-1998; lieutenant governor of California, 2007-2009; elected as a Democrat to the One Hundred Eleventh Congress, by special election, to fill the vacancy caused by the resignation of United States Representative Ellen Tauscher, and reelected to the four succeeding Congresses (November 3, 2009-present).","202-225-1880","202-225-5914","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://garamendi.house.gov","https://garamendi.house.gov/contact-me/email-me","https://facebook.com/repgaramendi","RepGaramendi","https://twitter.com/RepGaramendi","https://cdn.civil.services/us-house/headshots/512x512/john-garamendi.jpg"
"California","california","CA","ca","4","false","false","M001177","1908","N00006863","9715","H8CA04152","777","Q535887","kg:/m/01r6jp","representative","republican","Tom McClintock","tom-mcclintock","Tom",,"McClintock",,,"TAHM mu-KLIN-tahk","male","white-american","baptist","no","1956-07-10","2009-01-06","2023-01-03","Tom McClintock, a Representative from California; born in Bronxville, Westchester County, N.Y., July 10, 1956; B.A., University of California, Los Angeles, Calif., 1988; journalist; public policy analyst; member of the California state assembly, 1982-1992, 1996-2000; member of the California state senate, 2000-2008; unsuccessful candidate for election to the One Hundred Third Congress in 1992; unsuccessful candidate for election for Governor of California in 2003; elected as a Republican to the One Hundred Eleventh and to the four succeeding Congresses (January 3, 2009-present).","202-225-2511","202-225-5444","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://mcclintock.house.gov","https://mcclintock.house.gov/contact/email-me","https://facebook.com/Congressman-Tom-McClintock-81125319109","RepMcClintock","https://twitter.com/RepMcClintock","https://cdn.civil.services/us-house/headshots/512x512/tom-mcclintock.jpg"
